label,lead_high_bias,trump_spend_bias,random_play_jitter,runs,nt_attempts_candidate,nt_make_rate_candidate,nt_avg_margin_candidate,nt_attempts_all,nt_make_rate_all,win_rate,avg_score_diff
lead=0.60|trump=0.80|jitter=0.10,0.6,0.8,0.1,60.0,120.0,0.31666666666666665,-2.8,256.0,0.25390625,0.6,11.8
lead=0.40|trump=0.20|jitter=0.05,0.4,0.2,0.05,60.0,133.0,0.3157894736842105,-2.9097744360902253,251.0,0.2788844621513944,0.5166666666666667,-7.75
lead=0.40|trump=0.80|jitter=0.10,0.4,0.8,0.1,60.0,121.0,0.3140495867768595,-2.652892561983471,231.0,0.2554112554112554,0.6,11.366666666666667
lead=0.60|trump=0.40|jitter=0.10,0.6,0.4,0.1,60.0,108.0,0.3055555555555556,-2.8796296296296298,232.0,0.27155172413793105,0.5,2.9166666666666665
lead=0.40|trump=0.40|jitter=0.00,0.4,0.4,0.0,60.0,121.0,0.2975206611570248,-2.6942148760330578,231.0,0.24242424242424243,0.5833333333333334,14.133333333333333
lead=0.20|trump=0.20|jitter=0.20,0.2,0.2,0.2,60.0,129.0,0.29457364341085274,-2.9612403100775193,257.0,0.2723735408560311,0.48333333333333334,-0.38333333333333336
lead=0.40|trump=0.60|jitter=0.20,0.4,0.6,0.2,60.0,126.0,0.29365079365079366,-3.0396825396825395,258.0,0.24806201550387597,0.48333333333333334,-8.116666666666667
lead=0.60|trump=0.80|jitter=0.00,0.6,0.8,0.0,60.0,109.0,0.29357798165137616,-2.7339449541284404,223.0,0.25112107623318386,0.5,1.3833333333333333
lead=0.40|trump=0.80|jitter=0.20,0.4,0.8,0.2,60.0,120.0,0.2916666666666667,-2.941666666666667,245.0,0.27346938775510204,0.5833333333333334,10.066666666666666
lead=0.40|trump=0.20|jitter=0.00,0.4,0.2,0.0,60.0,117.0,0.2905982905982906,-3.0085470085470085,233.0,0.2703862660944206,0.55,12.85
lead=0.40|trump=0.40|jitter=0.10,0.4,0.4,0.1,60.0,138.0,0.2898550724637681,-2.8840579710144927,259.0,0.23938223938223938,0.5666666666666667,6.616666666666666
lead=0.40|trump=0.20|jitter=0.20,0.4,0.2,0.2,60.0,128.0,0.2890625,-2.9765625,250.0,0.288,0.5166666666666667,2.7333333333333334
lead=0.60|trump=0.20|jitter=0.10,0.6,0.2,0.1,60.0,116.0,0.28448275862068967,-3.1724137931034484,249.0,0.26506024096385544,0.55,4.9
lead=0.40|trump=0.20|jitter=0.10,0.4,0.2,0.1,60.0,121.0,0.2809917355371901,-2.8677685950413223,245.0,0.22857142857142856,0.6,10.133333333333333
lead=0.40|trump=0.80|jitter=0.05,0.4,0.8,0.05,60.0,125.0,0.28,-2.544,252.0,0.25793650793650796,0.5666666666666667,8.0
lead=0.60|trump=0.60|jitter=0.10,0.6,0.6,0.1,60.0,125.0,0.28,-3.312,250.0,0.26,0.4666666666666667,-4.633333333333334
lead=0.60|trump=0.40|jitter=0.20,0.6,0.4,0.2,60.0,118.0,0.2796610169491525,-3.483050847457627,233.0,0.2446351931330472,0.45,-7.033333333333333
lead=0.40|trump=0.60|jitter=0.05,0.4,0.6,0.05,60.0,122.0,0.2786885245901639,-2.7540983606557377,239.0,0.25523012552301255,0.5833333333333334,1.2833333333333334
lead=0.60|trump=0.60|jitter=0.00,0.6,0.6,0.0,60.0,131.0,0.2748091603053435,-3.0076335877862594,252.0,0.2261904761904762,0.5166666666666667,1.2
lead=0.40|trump=0.40|jitter=0.20,0.4,0.4,0.2,60.0,132.0,0.2727272727272727,-3.128787878787879,258.0,0.26744186046511625,0.5,-8.883333333333333
lead=0.80|trump=0.40|jitter=0.05,0.8,0.4,0.05,60.0,125.0,0.272,-2.776,255.0,0.24313725490196078,0.4166666666666667,-7.0
lead=0.80|trump=0.80|jitter=0.20,0.8,0.8,0.2,60.0,96.0,0.2708333333333333,-2.84375,213.0,0.29577464788732394,0.48333333333333334,-5.983333333333333
lead=0.60|trump=0.80|jitter=0.05,0.6,0.8,0.05,60.0,131.0,0.26717557251908397,-2.854961832061069,265.0,0.24528301886792453,0.48333333333333334,-5.55
lead=0.20|trump=0.40|jitter=0.00,0.2,0.4,0.0,60.0,117.0,0.26495726495726496,-3.427350427350427,252.0,0.2777777777777778,0.5333333333333333,7.666666666666667
lead=0.40|trump=0.80|jitter=0.00,0.4,0.8,0.0,60.0,102.0,0.2647058823529412,-3.411764705882353,208.0,0.25961538461538464,0.5166666666666667,8.966666666666667
lead=0.60|trump=0.20|jitter=0.00,0.6,0.2,0.0,60.0,125.0,0.264,-3.352,267.0,0.24719101123595505,0.5833333333333334,7.466666666666667
lead=0.20|trump=0.20|jitter=0.05,0.2,0.2,0.05,60.0,115.0,0.2608695652173913,-2.8,266.0,0.2781954887218045,0.5333333333333333,13.45
lead=0.60|trump=0.40|jitter=0.00,0.6,0.4,0.0,60.0,151.0,0.2582781456953642,-3.0264900662251657,279.0,0.22580645161290322,0.5833333333333334,3.8
lead=0.40|trump=0.60|jitter=0.10,0.4,0.6,0.1,60.0,128.0,0.2578125,-3.3515625,253.0,0.2450592885375494,0.5833333333333334,17.05
lead=0.20|trump=0.20|jitter=0.00,0.2,0.2,0.0,60.0,140.0,0.2571428571428571,-3.1357142857142857,253.0,0.2608695652173913,0.45,-3.716666666666667
